,example_index,input_prompt,predicted_text,decode_method,temperature,model,prompt_type,meaning,predicted_meaning,gt_meaning,lyrics,artist,title
43,12005,"<|startoftext|> lyrics: Well, he seemed broken hearted
 Somethin’ within him. meaning:","<|startoftext|> lyrics: Well, he seemed broken hearted
 Somethin’ within him. meaning: This line could be a reference to the song “Heartbreak Hotel” by The Rolling Stones. In this song, the protagonist, a young man, falls in love with a woman who is broken in heart.

In this case, it could also be an allusion to how he feels about his lover. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This line could be a reference to the song “Heartbreak Hotel” by The Rolling Stones. In this song, the protagonist, a young man, falls in love with a woman who is broken in heart.

In this case, it could also be an allusion to how he feels about his lover. ","Nicks told Billboard that this lyric was inspired by Tom Petty:

‘Edge of Seventeen’ is also a little bit about Tom. ‘He seemed broken hearted/Somethin’ within him,‘ that was [his wife] Jane talking about Tom. I bet a lot of people thought I was talking about me, but I was chronicling their relationship as she told it to me.

She also explained how Jane inspired the song’s title:

I asked Tom’s wife, Jane, when she met him. She said, ‘I met him at some point during the age of 17.’ But I thought she said, ‘The edge of 17.’ I said, ‘Jane, can I use that? Can I write a song called “Edge of Seventeen”?’","Well, he seemed broken hearted
 Somethin’ within him",Stevie Nicks,Edge of Seventeen
44,1001,"<|startoftext|> lyrics: Here I go, on my own
 I don’t need nobody, better off alone
 Here I go, on my own now
 I don’t need nobody, not anybody
 Here I go (Here I go, here I go, here I go...). meaning:","<|startoftext|> lyrics: Here I go, on my own
 I don’t need nobody, better off alone
 Here I go, on my own now
 I don’t need nobody, not anybody
 Here I go (Here I go, here I go, here I go...). meaning: This line is a reference to the song “I” by The Weeknd.

This line could also be a play on the word ‘go,‘ which is also used in the same line. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This line is a reference to the song “I” by The Weeknd.

This line could also be a play on the word ‘go,‘ which is also used in the same line. ","Britney is ready to be a fully in control of her craft, without her management team pressurizing and influencing her decisions. She also started to write her own songs, most notably on her fourth studio album, In The Zone.

At some point, she also wanted to create her own record label.","Here I go, on my own
 I don’t need nobody, better off alone
 Here I go, on my own now
 I don’t need nobody, not anybody
 Here I go (Here I go, here I go, here I go...)",Britney Spears,Stronger
45,12003,"<|startoftext|> lyrics: Well, I won’t back down
 No, I won’t back down
 You can stand me up at the gates of hell
 But I won’t back down. meaning:","<|startoftext|> lyrics: Well, I won’t back down
 No, I won’t back down
 You can stand me up at the gates of hell
 But I won’t back down. meaning: This is a reference to the song “I Won” by The Rolling Stones.

In this song, the protagonist, Jack Johnson, is trying to convince his girlfriend to leave him. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This is a reference to the song “I Won” by The Rolling Stones.

In this song, the protagonist, Jack Johnson, is trying to convince his girlfriend to leave him. ","Everyone of us experiences failure, rejection and negativism. Petty has experienced it in his own life, from music critics to obsessed fans.
His advice is to focus on your goal and how you’re going to get there.



– Just beyond the gates of hell","Well, I won’t back down
 No, I won’t back down
 You can stand me up at the gates of hell
 But I won’t back down",Tom Petty,I Won’t Back Down
46,3001,"<|startoftext|> lyrics: I been stoned; ever since the days of creation, I’ve been red. meaning:","<|startoftext|> lyrics: I been stoned; ever since the days of creation, I’ve been red. meaning: This is a reference to the song “Stoned” by The Weeknd.

The song is about a man who has been smoking marijuana since he was a child. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This is a reference to the song “Stoned” by The Weeknd.

The song is about a man who has been smoking marijuana since he was a child. ","He is talking about how he is always high but the wordplay may actually go deeper.

“Stoned ever since the days of creation” could be a historical reference to the Stone Age, one of the earliest times for mankind, named after primitive humans creating stone tools. This could tie in with the Flintstones reference from earlier.

It could also be biblical, as the “days of creation” in the Bible are the days in which God created the universe. The “been stoned” part may be a reference to John 8:7 from the Bible, which says “Let any one of you who is without sin be the first to throw a stone at her”. The verse means that you shouldn’t shame others if you aren’t perfect yourself. Phi could be referencing it to say that either he gets shunned for his drug-addicted lifestyle when it isn’t much worse than anyone else’s or it’s a reference to racism and prejudice against black communities. “I’ve been red” is a homophone for “I’ve been read” which could mean that Phi is a religious guy hence the references. Many black communities are heavily into Christianity so it wouldn’t be a shock.","I been stoned; ever since the days of creation, I’ve been red",Gorillaz,Clint Eastwood (Phi Life Cypher Version)
47,4001,"<|startoftext|> lyrics: I’m gonna wear the tie, want the power to leave you
 I’m aimin’ for full control of this love (Of this love). meaning:","<|startoftext|> lyrics: I’m gonna wear the tie, want the power to leave you
 I’m aimin’ for full control of this love (Of this love). meaning: This line is a reference to the song “The Power to Leave You” by The Weeknd.

The song is about a man who is in love with a woman, but is afraid of leaving her. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This line is a reference to the song “The Power to Leave You” by The Weeknd.

The song is about a man who is in love with a woman, but is afraid of leaving her. ","Gaga wears the pants in this relationship, as guys are traditionally the dominant partner, and they traditionally wear ties.



However, in a conversation with Mirror, Gaga admitted that, at least in her relationship to Taylor Kinney, the case might be a little different:

He is totally in charge. I mean when I am home I am like, shoes are off, I’m making him dinner.","I’m gonna wear the tie, want the power to leave you
 I’m aimin’ for full control of this love (Of this love)",Lady Gaga,G.U.Y.
48,5001,"<|startoftext|> lyrics: Soon all that Gucci don’t fit, now you out of dough
 One day your pocket’s alright now they all wrong. meaning:","<|startoftext|> lyrics: Soon all that Gucci don’t fit, now you out of dough
 One day your pocket’s alright now they all wrong. meaning: This line is a reference to the song “I Got You Babe” by The Weeknd. In this song, the narrator is saying that he is in love with a girl, but she is not in his pocket.

This line could also be a play on the word ‘babe‘, which is slang for a woman. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This line is a reference to the song “I Got You Babe” by The Weeknd. In this song, the narrator is saying that he is in love with a girl, but she is not in his pocket.

This line could also be a play on the word ‘babe‘, which is slang for a woman. ","A rare Ludacris Double Meaning!!

Purchasing Gucci clothing is an expensive habit, which ties back in with the theme of the song.

Ludacris spins this in two ways. Firstly, he explains that when you’re hot, and you’re relevant in the game, your money is good and your figure is good, the Gucci fits perfectly over your sculpted frame. However, when you fall off (in both a physical and metaphorical sense), your game is much less tight than it was. All of a sudden, that Gucci doesn’t physically fit, nor does it fit with your image. It becomes worthless.

He plays on the word “pockets” to mean both the pockets on your expensive clothing not working anymore, and to indicate you no longer have the bank-roll you once did.","Soon all that Gucci don’t fit, now you out of dough
 One day your pocket’s alright now they all wrong",Ludacris,Money
49,6001,<|startoftext|> lyrics: He wanna taste of my goodies. meaning:,"<|startoftext|> lyrics: He wanna taste of my goodies. meaning: This line could be a reference to the song “Cherry Bomb” by The Weeknd. In this song, he sings:

I’m on a cherry bomb
And I want you to taste my cherry bombs. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This line could be a reference to the song “Cherry Bomb” by The Weeknd. In this song, he sings:

I’m on a cherry bomb
And I want you to taste my cherry bombs. ","In 2004, Ciara dropped her album and chart-topping single, “Goodies.” Since then, a girl’s body and everything that comes with it is known as her goodies. Ciara and Missy are also really good friends, collaborating on Ciara’s “1, 2 Step” and Missy’s “Lose Control” a year later.",He wanna taste of my goodies,Missy Elliott,DripDemeanor
50,7001,"<|startoftext|> lyrics: Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire. meaning:","<|startoftext|> lyrics: Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire. meaning: This is a reference to the song ""Sleep Now In The Fire"", written by The Weeknd.

https://www.youtube.com/watch?v=qZjx7qX7xw4 ",beam search,0.95,gpt2-medium,lyrics_meaning,," This is a reference to the song ""Sleep Now In The Fire"", written by The Weeknd.

https://www.youtube.com/watch?v=qZjx7qX7xw4 ",People are in the midst of a society that is destroying their interests (‘the fire’) and the speaker who represents the powers that be is encouraging them to be complacent (‘sleep now’).,"Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire",Rage Against the Machine,Sleep Now in the Fire
51,8001,"<|startoftext|> lyrics: Flashbacks waking me up
 I get drunk, but it’s not enough
 ’Cause the morning comes and you’re not my baby. meaning:","<|startoftext|> lyrics: Flashbacks waking me up
 I get drunk, but it’s not enough
 ’Cause the morning comes and you’re not my baby. meaning: This is a reference to the song “Flashbacks Wake Me Up” by The Weeknd. In this song, the narrator wakes up to find himself in a dream where he is in love with a woman he has never met before.

The narrator is reminded of this dream by the fact that he woke up in the middle of the night and was unable to sleep. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This is a reference to the song “Flashbacks Wake Me Up” by The Weeknd. In this song, the narrator wakes up to find himself in a dream where he is in love with a woman he has never met before.

The narrator is reminded of this dream by the fact that he woke up in the middle of the night and was unable to sleep. ","In the Netflix film Someone Great, which serves as the inspiration for this song, the protagonist’s relationship with her ex-boyfriend is shown through flashbacks, brought on by seeing different reminders of her past.

In an interview on the Elvis Duran Show, Taylor recalled how she ended up writing this song:

I cried watching the movie, and so, for, like, a week, I start waking up from dreams that I’m living out that scenario, that that’s happening to me. And I just would wake up and I’m like, ‘Oh my God, I’m writing a break-up song.’

Throughout the movie, the protagonist periodically gets drunk and high, in an effort to deal with the pain of the failed relationship.","Flashbacks waking me up
 I get drunk, but it’s not enough
 ’Cause the morning comes and you’re not my baby",Taylor Swift,Death by a Thousand Cuts
52,9001,<|startoftext|> lyrics: And I hide behind my mouth. meaning:,"<|startoftext|> lyrics: And I hide behind my mouth. meaning: This line could be a reference to the song “I Hide Behind My Mouth” by The Weeknd. In this song, the narrator hides behind his mouth to conceal his true feelings. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This line could be a reference to the song “I Hide Behind My Mouth” by The Weeknd. In this song, the narrator hides behind his mouth to conceal his true feelings. ","He’s hiding how dark/alone/depressed he feels with his words. The classic tale of saying you’re fine when you’re not or avoiding questions so people don’t realize what bad shape you’re in.

This line is extremely reminiscent of a line from “Fall Away,” one of the band’s most popular songs from their Self-Titled album.

Cause I will save face
For name’s sake

The term which he referenced, “save face,” refers to attempting to cover up your flaws in an attempt to make yourself appear as a “good” person.",And I hide behind my mouth,​twenty one pilots,The Judge
53,10001,"<|startoftext|> lyrics: I wanted to become your comfort and move your heart
 I want to take away your sadness, and pain. meaning:","<|startoftext|> lyrics: I wanted to become your comfort and move your heart
 I want to take away your sadness, and pain. meaning: She wants to make him feel like she is there for him. ",beam search,0.95,gpt2-medium,lyrics_meaning,, She wants to make him feel like she is there for him. ,"almost a profession, expressing your undying love for sb.

past tense “wanted” vs. present tense “want”
“I wanted to become your comfort and move your heart” -> i wanted to be the best, i would have done anything to make you happy, i wanted you to love me

“I want to take away your sadness, and pain” -> but i know now that you’re hurting, hurting inside. so now all i want to do is to dissolve your sadness, your pain. all i want is to see you happy.","I wanted to become your comfort and move your heart
 I want to take away your sadness, and pain",Genius English Translations,BTS - Magic Shop (English Translation)
54,11001,"<|startoftext|> lyrics: This for my niggas that was tossed in the graves
 Every so often I fade deep in my thoughts
 And then get lost in the days
 We used to play before your coffin was made
 Just got the call nigga got caught with a stray
 Hope he’s okay. meaning:","<|startoftext|> lyrics: This for my niggas that was tossed in the graves
 Every so often I fade deep in my thoughts
 And then get lost in the days
 We used to play before your coffin was made
 Just got the call nigga got caught with a stray
 Hope he’s okay. meaning: The “ghosts” in this line are the people who were thrown into the grave.

This line is also a reference to the famous line from the movie The Shawshank Redemption:
",beam search,0.95,gpt2-medium,lyrics_meaning,," The “ghosts” in this line are the people who were thrown into the grave.

This line is also a reference to the famous line from the movie The Shawshank Redemption:
","Cole previously spoke of losing his friends on “Knock Tha Hustle” and now reminisces about when they were still alive. His wordplay with “days”—which sounds similar to “daze”—further illustrates how much these losses affect him.



The mentioning of his friend getting shot fits well within the song since Cole later refers to the Ferguson case in verse two.","This for my niggas that was tossed in the graves
 Every so often I fade deep in my thoughts
 And then get lost in the days
 We used to play before your coffin was made
 Just got the call nigga got caught with a stray
 Hope he’s okay",J. Cole,January 28th
55,12001,<|startoftext|> lyrics: Like a kid out in the rain. meaning:,"<|startoftext|> lyrics: Like a kid out in the rain. meaning: This line could be a reference to the song “Rainy Day Women” by The Rolling Stones.

The song is about a girl who is in a relationship with a man, but the relationship ends and the girl decides to leave. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This line could be a reference to the song “Rainy Day Women” by The Rolling Stones.

The song is about a girl who is in a relationship with a man, but the relationship ends and the girl decides to leave. ","Free, without concern for consequences that might be apparent to others. A kid playing in the rain is having a good time but to adults looking on they are just getting wet. The narrator sees Tommy’s piano playing of emblematic of the way he lived his life.",Like a kid out in the rain,Butthole Surfers,Pepper
56,1207,"<|startoftext|> lyrics: From underneath the rubble, sing a rebel song. meaning:","<|startoftext|> lyrics: From underneath the rubble, sing a rebel song. meaning: This is a reference to the song “Rebel Rebel” by The Beatles, written by John Lennon and Paul McCartney.

The song is about a group of people who are trying to overthrow the government of the United States. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This is a reference to the song “Rebel Rebel” by The Beatles, written by John Lennon and Paul McCartney.

The song is about a group of people who are trying to overthrow the government of the United States. ","Up until now he has felt overwhelmed with burdens. His life is like a wreck, that as broken down around him. But when he listens to the songs he loves he feels energized – as though he can pick up the pieces of his life again. He sings a “rebel song” because he is rebelling against life getting him down. He refuses to give up.","From underneath the rubble, sing a rebel song",Coldplay,Every Teardrop Is a Waterfall
57,2207,<|startoftext|> lyrics: No such zone. meaning:,"<|startoftext|> lyrics: No such zone. meaning: This is a reference to the song ""No Such Zone"", written by The Weeknd.

https://www.youtube.com/watch?v=qZjx7qX7xwY
 ",beam search,0.95,gpt2-medium,lyrics_meaning,," This is a reference to the song ""No Such Zone"", written by The Weeknd.

https://www.youtube.com/watch?v=qZjx7qX7xwY
 ","The phrase “no such zone” in the song refers to U.S. postal zones, a predecessor of the current U.S. ZIP Code (an acronym of Zone Improvement Plan). A postal zone was a one- or two-digit number written between the city and state (“New York 1, NY”), whereas a ZIP Code is a five- or nine-digit number written after the state (“New York, NY 10001”).",No such zone,Elvis Presley,Return to Sender
58,3207,"<|startoftext|> lyrics: Sittin’ on the counter in your kitchen
 Can you hear my heartbeat fucking kickin’?
 Your eyes light up ’cause you best believe that I got something up my sleeve
 I walk my talk, no time for wishful thinking
 I push up on my toes, you call me “sweet thing”
 I’m breathing down your neck, your body screaming
 And you thought that you were the boss tonight, but I can put up one good fight
 I flip the script like I can take a beating. meaning:","<|startoftext|> lyrics: Sittin’ on the counter in your kitchen
 Can you hear my heartbeat fucking kickin’?
 Your eyes light up ’cause you best believe that I got something up my sleeve
 I walk my talk, no time for wishful thinking
 I push up on my toes, you call me “sweet thing”
 I’m breathing down your neck, your body screaming
 And you thought that you were the boss tonight, but I can put up one good fight
 I flip the script like I can take a beating. meaning: This line could be a reference to the famous line from the movie The Godfather:

“I can do anything, I just need a little bit of luck. I need to be able to pull it off.
And this could also be an allusion to his previous line in the song, where he says:",beam search,0.95,gpt2-medium,lyrics_meaning,," This line could be a reference to the famous line from the movie The Godfather:

“I can do anything, I just need a little bit of luck. I need to be able to pull it off.
And this could also be an allusion to his previous line in the song, where he says:","This may be Halsey’s version of the party scene from Romeo + Juliet, where the star-crossed lovers experience love at first sight. In the literal “script” of Romeo + Juliet, Tybalt spots Romeo with Juliet and immediately wants to fight him:

https://www.youtube.com/watch?v=8JoOpx6VwHk

Solis and Luna’s fight is a metaphorical one, though, referring to their sexually-charged interaction. “If you talk the talk, you’d better walk the walk” is an idiom meaning you have to back up your claims with actions—Solis doesn’t just say he’ll take control, he gets physical and asserts his dominance.

But “flip the script” means to reverse expectations, and Solis being willing to “take a beating” in this context means he’s not afraid to take a submissive role either.

“Flip the script” also refers to the fact that Halsey gender-swapped Romeo and Juliet to create Solis and Luna.","Sittin’ on the counter in your kitchen
 Can you hear my heartbeat fucking kickin’?
 Your eyes light up ’cause you best believe that I got something up my sleeve
 I walk my talk, no time for wishful thinking
 I push up on my toes, you call me “sweet thing”
 I’m breathing down your neck, your body screaming
 And you thought that you were the boss tonight, but I can put up one good fight
 I flip the script like I can take a beating",Halsey,Heaven in Hiding
59,4207,"<|startoftext|> lyrics: Boo, let’s get acquainted (What?). meaning:","<|startoftext|> lyrics: Boo, let’s get acquainted (What?). meaning: “Boo” is a slang term used to describe a person who is inebriated. ",beam search,0.95,gpt2-medium,lyrics_meaning,, “Boo” is a slang term used to describe a person who is inebriated. ,"This line might be a reference to “Acquainted” by The Weeknd. In May 2017, Lana discussed her friendship with Abel in an interview with the Rolling  Stones:

He’s kind of the reason I was ever on the radio like six years ago. He started posting all my videos on his Tumblr and social media … He’s been in touch with me ever since then. He’s always been really supportive. He had his own path, which led him to this place that’s crazy big. But we’ve just been friends for maybe the past six years.","Boo, let’s get acquainted (What?)",Lana Del Rey,Summer Bummer
60,5207,"<|startoftext|> lyrics: Yo, as long as you know he got the baddest, I’m flattered
 I’m the only one that he answers to. meaning:","<|startoftext|> lyrics: Yo, as long as you know he got the baddest, I’m flattered
 I’m the only one that he answers to. meaning: This line could be a reference to the song “Bad Boy” by Eminem.

Eminem is known for his rapping style, and this line is a perfect example of that. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This line could be a reference to the song “Bad Boy” by Eminem.

Eminem is known for his rapping style, and this line is a perfect example of that. ",Nicki is the only one her man answers to because he knows she’s the only woman he needs.,"Yo, as long as you know he got the baddest, I’m flattered
 I’m the only one that he answers to",Maroon 5,Sugar (Remix)
61,6207,"<|startoftext|> lyrics: Its preparations are concealed, not published
 Its mistakes are buried, not headlined
 Its dissenters are silenced, not praised. meaning:","<|startoftext|> lyrics: Its preparations are concealed, not published
 Its mistakes are buried, not headlined
 Its dissenters are silenced, not praised. meaning: This line is a reference to the song “I Don’t Wanna Live Forever,” written by The Beatles.

The song is about a man who has been in love with a woman for a long time, but has never been able to find the right woman. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This line is a reference to the song “I Don’t Wanna Live Forever,” written by The Beatles.

The song is about a man who has been in love with a woman for a long time, but has never been able to find the right woman. ","These lines highlight the fact that it is no longer just the totalitarian communist governments of JFK’s time in his speech that are taking part in these acts of silencing dissent and mistakes. It is instead governments of the developed world, including the United States and Britain, who continue to do this in today’s world.

The music video includes a shot of whistleblower Edward Snowden’s face, an Anonymous hacker, and Martin Luther King Jr.","Its preparations are concealed, not published
 Its mistakes are buried, not headlined
 Its dissenters are silenced, not praised",Muse,[JFK]
62,7207,"<|startoftext|> lyrics: One tries to fly away
 And the other watches him close from that wire
 He says he wants to as well
 But he is a liar. meaning:","<|startoftext|> lyrics: One tries to fly away
 And the other watches him close from that wire
 He says he wants to as well
 But he is a liar. meaning: This line could be a reference to the song “Fly Away,” written by The Weeknd. In this song, he sings:

I’m flying away from you
But I can see you in my dreams
And I‘m watching you close
From the wire. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This line could be a reference to the song “Fly Away,” written by The Weeknd. In this song, he sings:

I’m flying away from you
But I can see you in my dreams
And I‘m watching you close
From the wire. ","One of the two friends decides they want to make something of themselves, to move forward and leave the place they’re in, be it physical or metaphorical. The other friend claims they share the same dream and ambition but in truth is probably too afraid to leave the safety of the “wire”. As this person is clinging to the comfort they feel in their present situation, they prevent them both from ‘flying away’ or progressing together.","One tries to fly away
 And the other watches him close from that wire
 He says he wants to as well
 But he is a liar",Regina Spektor,Two Birds
63,8207,"<|startoftext|> lyrics: Killing all in his path, save for that which he longs
 King Kooonnnng!. meaning:","<|startoftext|> lyrics: Killing all in his path, save for that which he longs
 King Kooonnnng!. meaning: This line is a reference to the song ""King Kong"", written by The Beatles.

https://www.youtube.com/watch?v=j_qX_xw_7_w
 ",beam search,0.95,gpt2-medium,lyrics_meaning,," This line is a reference to the song ""King Kong"", written by The Beatles.

https://www.youtube.com/watch?v=j_qX_xw_7_w
 ","Here is started a epic orchestral part, with all the drums, like the drum, and violins, flautes and many epic instruments for an allusion to Kong.

LONG LIVE KING KONG!","Killing all in his path, save for that which he longs
 King Kooonnnng!",Tenacious D,Kong
64,9207,"<|startoftext|> lyrics: We’re still building and burning down love
 Burning down love
 And when I go there
 I go there with you
 It’s all I can do. meaning:","<|startoftext|> lyrics: We’re still building and burning down love
 Burning down love
 And when I go there
 I go there with you
 It’s all I can do. meaning: This is a reference to the song “Burning Down the House” by The Lumineers.

In the chorus, the narrator describes how he and his lover are building a house together, but when he goes there, he finds that the house has been burned down. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This is a reference to the song “Burning Down the House” by The Lumineers.

In the chorus, the narrator describes how he and his lover are building a house together, but when he goes there, he finds that the house has been burned down. ","Relationships are a work in progress. You never achieve perfection. It’s a process of building and tearing down again to start anew.
In the end I’m made my choice to be with you. There is no one else I would want to be on this journey with.","We’re still building and burning down love
 Burning down love
 And when I go there
 I go there with you
 It’s all I can do",U2,Where the Streets Have No Name
65,10207,"<|startoftext|> lyrics: I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you
 I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you. meaning:","<|startoftext|> lyrics: I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you
 I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you. meaning: This line is a reference to the song “I Made a Mistake” by The Lumineers. In this song, the narrator is told that he made an error in his relationship with his girlfriend, and that she has left him.

This line could also be a play on the word ‘mistake.‘ In the context of this line, it could be used to mean that the person who made the mistake is the one who has to deal with the consequences of their actions. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This line is a reference to the song “I Made a Mistake” by The Lumineers. In this song, the narrator is told that he made an error in his relationship with his girlfriend, and that she has left him.

This line could also be a play on the word ‘mistake.‘ In the context of this line, it could be used to mean that the person who made the mistake is the one who has to deal with the consequences of their actions. ","We all make mistakes, every one of us. And if you love someone and they truly love you, you would hope they can accept you with all those flaws that every single one of us has.

Here the realization stage has hit home and I’m just wanting reassurance and forgiveness from the person that really has my heart. There’s no such thing as perfection, but we can all try to be better people can’t we?","I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you
 I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you",Flume,Never Be Like You
66,11207,<|startoftext|> lyrics: You did this to us! You did it! It’s your fault!. meaning:,"<|startoftext|> lyrics: You did this to us! You did it! It’s your fault!. meaning: This line could be a reference to the song “You Did This To Me” by The Weeknd.

The song is about a girl who is in a relationship with a man, but the man is cheating on her. ",beam search,0.95,gpt2-medium,lyrics_meaning,," This line could be a reference to the song “You Did This To Me” by The Weeknd.

The song is about a girl who is in a relationship with a man, but the man is cheating on her. ","In the mindstate that Eminem is at this point, is typical to blame others for things they do themselves. Helps them do anything as they are absolved from any fault.",You did this to us! You did it! It’s your fault!,Eminem,Kim
67,12207,"<|startoftext|> lyrics: I came fluttering in from Neverland
 Time can never stop me, no, no, no, no
 I know you’ve tried to. meaning:","<|startoftext|> lyrics: I came fluttering in from Neverland
 Time can never stop me, no, no, no, no
 I know you’ve tried to. meaning: In the song “Neverland” by The Beatles, John Lennon sings:

I came flying in, I was so happy
And I knew it was only a matter of time
That I would find my way home. ",beam search,0.95,gpt2-medium,lyrics_meaning,," In the song “Neverland” by The Beatles, John Lennon sings:

I came flying in, I was so happy
And I knew it was only a matter of time
That I would find my way home. ","In Neverland, the location for J.M Barrie’s Peter Pan, people don’t grow old. Rihanna feels as if she just came from Neverland because she hasn’t changed over time.



This is the first time we hear about the toxic relationship Rihanna and SZA sing about. Time may not stop RiRi, but the figure she sings to is restraining her. Successful or not, they’re putting an effort to stop her.","I came fluttering in from Neverland
 Time can never stop me, no, no, no, no
 I know you’ve tried to",Rihanna,Consideration
68,1158,"<|startoftext|> lyrics: And in the end, you’ll have your best friend. meaning:","<|startoftext|> lyrics: And in the end, you’ll have your best friend. meaning: The Quips have to defeat the Quast because they made the world a better place, other great people have died in this attempt, which shows how hopeless the Quips are. This example is what they’ve always been. ",sampling,0.95,gpt2-medium,lyrics_meaning,," The Quips have to defeat the Quast because they made the world a better place, other great people have died in this attempt, which shows how hopeless the Quips are. This example is what they’ve always been. ",a relationship is best when you can treat each other like best friends,"And in the end, you’ll have your best friend",Christina Perri,​penguin
69,2907,"<|startoftext|> lyrics: Lovely Rita, meter maid
 Lovely Rita, meter maid. meaning:","<|startoftext|> lyrics: Lovely Rita, meter maid
 Lovely Rita, meter maid. meaning: In the Sam Phillips Tribute to Vivaldi, played by Evelyn Coward, Rita is pitched up to the highest possible note; she's a meter maid, commonly employed for lifts and offices. ",sampling,0.95,gpt2-medium,lyrics_meaning,," In the Sam Phillips Tribute to Vivaldi, played by Evelyn Coward, Rita is pitched up to the highest possible note; she's a meter maid, commonly employed for lifts and offices. ","2D interpolates the chorus of legendary English band The Beatles‘ June 1967 track “Lovely Rita.” The band has taken inspiration from The Beatles many times before, exemplified by the cover art of their May 2005 record Demon Days, which drew many comparisons to the art of The Beatles’ May 1970 record, Let It Be:



When asked “Who’s Rita?” by BBC Radio 1’s Annie Mac, the group said:

It’s a lovely name to sing… I sort of think it’s about instant gratification, it doesn’t last. And there’s lots of that around today.","Lovely Rita, meter maid
 Lovely Rita, meter maid",Gorillaz,Momentary Bliss
70,3004,"<|startoftext|> lyrics: Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!. meaning:","<|startoftext|> lyrics: Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!. meaning: Concrete on the float is painted, and these wooden blocks are held up in place by rolled up paper. Buddhists paint the sticks with a line of dots which symbolizes how to meditate on such things.

He made a mockery of stencils and use of blue paint, placing sculptures here, instead of a Japanese illustrator ",sampling,0.95,gpt2-medium,lyrics_meaning,," Concrete on the float is painted, and these wooden blocks are held up in place by rolled up paper. Buddhists paint the sticks with a line of dots which symbolizes how to meditate on such things.

He made a mockery of stencils and use of blue paint, placing sculptures here, instead of a Japanese illustrator ","Continuing with the martial arts movie metaphors, his prowess is on a whole other level.

Your Rhymes:



His Rhymes:","Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!",Gorillaz,Clint Eastwood (Phi Life Cypher Version)
71,4004,"<|startoftext|> lyrics: She said, “’Cause He made you perfect, babe”. meaning:","<|startoftext|> lyrics: She said, “’Cause He made you perfect, babe”. meaning: My ex-husband and I talked about him loving me, so she said it had to be Ted. I didn’t like the way he phrased it because I know he’d never say it like that. Well a year later, he did say it though as I can confirm in my memory, he did say it.

“He’s’t the person you think he is”—he is. But he’s perfect. That’s where a lot of people get to value perfect: the idea that every girl should be perfect. He didn’t want the kids to",sampling,0.95,gpt2-medium,lyrics_meaning,," My ex-husband and I talked about him loving me, so she said it had to be Ted. I didn’t like the way he phrased it because I know he’d never say it like that. Well a year later, he did say it though as I can confirm in my memory, he did say it.

“He’s’t the person you think he is”—he is. But he’s perfect. That’s where a lot of people get to value perfect: the idea that every girl should be perfect. He didn’t want the kids to",“Cause he made you perfect” is a direct reference to God and the perception that he made everybody in his image. It emphasizes the fact that everyone is perfect in their own way.,"She said, “’Cause He made you perfect, babe”",Lady Gaga,Born This Way
